"Action","Action"
"Add Inspiration","Add Inspiration"
"An error occurred while updating the manage inspiration.","An error occurred while updating the manage inspiration."
"Are you sure?","Are you sure?"
"CSV","CSV"
"Change status","Change status"
"Could not find inspiration to delete.","Could not find inspiration to delete."
"Created at","Created at"
"Delete Inspiration","Delete Inspiration"
"Delete","Delete"
"Disabled","Disabled"
"Edit Inspiration '%s'","Edit Inspiration '%s'"
"Edit","Edit"
"Enabled","Enabled"
"Error saving inspiration","Error saving inspiration"
"Excel","Excel"
"Home","Home"
"Id","Id"
"Inspiration was saved","Inspiration was saved"
"Inspiration was successfully deleted.","Inspiration was successfully deleted."
"Inspiration was successfully saved","Inspiration was successfully saved"
"Inspiration","Inspiration"
"Left Product  2 Name","Left Product  2 Name"
"Left Product 1  Url","Left Product 1  Url"
"Left Product 1 Image","Left Product 1 Image"
"Left Product 1 Image(243px X 243px)","Left Product 1 Image(243px X 243px)"
"Left Product 1 Link","Left Product 1 Link"
"Left Product 1 Name","Left Product 1 Name"
"Left Product 2  Url","Left Product 2  Url"
"Left Product 2 Image","Left Product 2 Image"
"Left Product 2 Image(243px X 243px)","Left Product 2 Image(243px X 243px)"
"Left Product3  Image","Left Product3  Image"
"Left Product3  Image(243px X 243px)","Left Product3  Image(243px X 243px)"
"Left Product3 Name","Left Product3 Name"
"Left Product3 Url","Left Product3 Url"
"Left Product4 Image","Left Product4 Image"
"Left Product4 Image(243px X 243px)","Left Product4 Image(243px X 243px)"
"Left Product4 Name","Left Product4 Name"
"Left Product4 Url","Left Product4 Url"
"Main Banner Product Image","Main Banner Product Image"
"Main Banner Product Url","Main Banner Product Url"
"Main Banner Product name","Main Banner Product name"
"Main Banner(100px X 390px)","Main Banner(100px X 390px)"
"Manage Inspiration","Manage Inspiration"
"No","No"
"None","None"
"Please select manage inspiration to delete.","Please select manage inspiration to delete."
"Please select manage inspiration.","Please select manage inspiration."
"Reset","Reset"
"Right Product Image","Right Product Image"
"Right Product Image(495px X 495px)","Right Product Image(495px X 495px)"
"Right Product Name","Right Product Name"
"Right Product Url","Right Product Url"
"Save And Continue Edit","Save And Continue Edit"
"Save Inspiration","Save Inspiration"
"Status","Status"
"Store views","Store views"
"The manage inspiration has been deleted.","The manage inspiration has been deleted."
"There was a problem saving the inspiration.","There was a problem saving the inspiration."
"There was an error deleting inspiration.","There was an error deleting inspiration."
"There was an error deleting manage inspiration.","There was an error deleting manage inspiration."
"There was an error updating manage inspiration.","There was an error updating manage inspiration."
"This inspiration no longer exists.","This inspiration no longer exists."
"Total of %d manage inspiration were successfully deleted.","Total of %d manage inspiration were successfully deleted."
"Total of %d manage inspiration were successfully updated.","Total of %d manage inspiration were successfully updated."
"Total of %d record(s) have been deleted.","Total of %d record(s) have been deleted."
"Total of %d record(s) have been updated.","Total of %d record(s) have been updated."
"Unable to find inspiration to save.","Unable to find inspiration to save."
"Updated at","Updated at"
"WYSIWYG Editor","WYSIWYG Editor"
"XML","XML"
"Yes","Yes"
"right_product_url","right_product_url"